model,seed,train_acc,val_acc,test_acc,row_type
EEGNet (baseline),0,0.886104,0.829569,0.836637,seed
EEGNet (baseline),3,0.897244,0.852156,0.844839,seed
EEGNet (baseline),6,0.896072,0.832991,0.834586,seed
EEGNet (baseline),14,0.889329,0.837782,0.839371,seed
EEGNet (baseline),15,0.894166,0.850787,0.841422,seed
EEGNet (baseline),16,0.892554,0.839151,0.844156,seed
EEGNet (baseline),17,0.896511,0.845311,0.849624,seed
EEGNet (baseline),19,0.888742,0.851472,0.84689,seed
EEGNet (baseline),21,0.888889,0.841205,0.852358,seed
EEGNet (baseline),27,0.880827,0.837782,0.839371,seed
EEGNet (baseline),29,0.885224,0.831622,0.832536,seed
EEGNet (baseline),33,0.898563,0.848049,0.851675,seed
EEGNet (baseline),34,0.884052,0.838467,0.83527,seed
EEGNet (baseline),36,0.8927,0.850787,0.834586,seed
EEGNet (baseline),39,0.883612,0.835044,0.838688,seed
EEGNet (baseline),42,0.884931,0.830938,0.838004,seed
EEGNet (baseline),43,0.887423,0.835729,0.841422,seed
EEGNet (baseline),46,0.888742,0.838467,0.833219,seed
EEGNet (baseline),47,0.888156,0.831622,0.837321,seed
EEGNet (baseline),49,0.893286,0.819986,0.833219,seed
EEGNet (baseline),mean,0.889856,0.838946,0.84026,mean
EEGNet (baseline),std,0.004927,0.008436,0.006026,std
EEGNet (baseline),min,0.880827,0.819986,0.832536,min
EEGNet (baseline),max,0.898563,0.852156,0.852358,max
EEG-ITNet,1,0.890062,0.838467,0.832536,seed
EEG-ITNet,10,0.893433,0.843258,0.846206,seed
EEG-ITNet,11,0.895192,0.854209,0.850308,seed
EEG-ITNet,12,0.894899,0.850103,0.842789,seed
EEG-ITNet,14,0.888889,0.843943,0.832536,seed
EEG-ITNet,18,0.892993,0.851472,0.831852,seed
EEG-ITNet,19,0.889329,0.847365,0.842105,seed
EEG-ITNet,20,0.897977,0.849418,0.840738,seed
EEG-ITNet,21,0.893286,0.864476,0.836637,seed
EEG-ITNet,22,0.894899,0.839151,0.839371,seed
EEG-ITNet,23,0.895192,0.845311,0.847573,seed
EEG-ITNet,24,0.893433,0.842574,0.832536,seed
EEG-ITNet,30,0.891674,0.837782,0.833219,seed
EEG-ITNet,31,0.888449,0.83436,0.835954,seed
EEG-ITNet,32,0.895045,0.856947,0.843472,seed
EEG-ITNet,36,0.894899,0.850103,0.844156,seed
EEG-ITNet,37,0.896658,0.836413,0.838688,seed
EEG-ITNet,43,0.900322,0.843258,0.848257,seed
EEG-ITNet,44,0.891381,0.848734,0.838004,seed
EEG-ITNet,45,0.892114,0.841205,0.838004,seed
EEG-ITNet,mean,0.893506,0.845927,0.839747,mean
EEG-ITNet,std,0.002972,0.007301,0.005605,std
EEG-ITNet,min,0.888449,0.83436,0.831852,min
EEG-ITNet,max,0.900322,0.864476,0.850308,max
"Inc2 Small/Med (16,32)",0,0.884345,0.828884,0.840055,seed
"Inc2 Small/Med (16,32)",1,0.889915,0.828884,0.831852,seed
